B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,GEO_ID,NAME
525,31,0,0,0,0,0,0,0,0,0,0,15,0,0,13,0,0,9,73,10,230,87,4,53,1500000US060014046002,"Block Group 2, Census Tract 4046, Alameda County, California"
1211,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,92,26,29,103,0,363,388,95,105,1500000US060014046003,"Block Group 3, Census Tract 4046, Alameda County, California"
1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,77,0,29,113,69,535,213,147,73,1500000US060014046004,"Block Group 4, Census Tract 4046, Alameda County, California"
857,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,77,33,49,35,16,354,209,36,27,1500000US060014047001,"Block Group 1, Census Tract 4047, Alameda County, California"
827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,12,6,56,26,337,236,125,16,1500000US060014047002,"Block Group 2, Census Tract 4047, Alameda County, California"
864,24,0,0,0,2,0,0,2,0,0,0,2,14,0,58,42,0,18,66,86,334,128,68,20,1500000US060014048001,"Block Group 1, Census Tract 4048, Alameda County, California"
1030,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,75,0,0,123,68,302,331,49,62,1500000US060014048002,"Block Group 2, Census Tract 4048, Alameda County, California"
542,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,29,59,37,220,176,8,6,1500000US060014049001,"Block Group 1, Census Tract 4049, Alameda County, California"
862,0,0,0,0,0,0,0,0,9,0,4,0,0,21,9,83,5,65,170,88,253,104,36,15,1500000US060014049002,"Block Group 2, Census Tract 4049, Alameda County, California"
936,11,0,0,0,0,0,0,9,3,3,0,5,0,0,0,8,0,4,95,84,335,189,157,33,1500000US060014049003,"Block Group 3, Census Tract 4049, Alameda County, California"
1060,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,116,8,33,71,93,343,215,53,115,1500000US060014049004,"Block Group 4, Census Tract 4049, Alameda County, California"
636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,55,0,34,49,22,264,113,55,20,1500000US060014050001,"Block Group 1, Census Tract 4050, Alameda County, California"
986,0,0,0,0,0,0,0,0,16,0,0,0,0,7,0,19,0,0,78,24,318,305,109,110,1500000US060014050002,"Block Group 2, Census Tract 4050, Alameda County, California"
